Starting Adafruit TSL2591 Test!
Found a TSL2591 sensor
------------------------------------
Sensor:       TSL2591
Driver Ver:   1
Unique ID:    2591
Max Value:    88000.00 lux
Min Value:    0.00 lux
Resolution:   1.00 lux
------------------------------------

------------------------------------
Gain:         9876x (Max)
Timing:       100 ms
------------------------------------

[ 142943 ms ] IR: 28  Full: 65  Visible: 37  Lux: 0
[ 143566 ms ] IR: 29  Full: 66  Visible: 37  Lux: 0
[ 144189 ms ] IR: 29  Full: 64  Visible: 35  Lux: 0
[ 144812 ms ] IR: 28  Full: 66  Visible: 38  Lux: 0
[ 145435 ms ] IR: 30  Full: 70  Visible: 40  Lux: 0
[ 146058 ms ] IR: 31  Full: 53  Visible: 22  Lux: 0
[ 146681 ms ] IR: 17  Full: 63  Visible: 46  Lux: 0
[ 147304 ms ] IR: 28  Full: 45  Visible: 17  Lux: 0
[ 147927 ms ] IR: 13  Full: 60  Visible: 47  Lux: 0
[ 148550 ms ] IR: 28  Full: 59  Visible: 31  Lux: 0
[ 149173 ms ] IR: 26  Full: 58  Visible: 32  Lux: 0
[ 149796 ms ] IR: 28  Full: 47  Visible: 19  Lux: 0
[ 150419 ms ] IR: 14  Full: 61  Visible: 47  Lux: 0
[ 151043 ms ] IR: 29  Full: 66  Visible: 37  Lux: 0
[ 151665 ms ] IR: 30  Full: 64  Visible: 34  Lux: 0
[ 152288 ms ] IR: 29  Full: 64  Visible: 35  Lux: 0
[ 152911 ms ] IR: 29  Full: 61  Visible: 32  Lux: 0
[ 153534 ms ] IR: 28  Full: 61  Visible: 33  Lux: 0
[ 154158 ms ] IR: 28  Full: 48  Visible: 20  Lux: 0
[ 154780 ms ] IR: 15  Full: 60  Visible: 45  Lux: 0
[ 155403 ms ] IR: 28  Full: 59  Visible: 31  Lux: 0
[ 156026 ms ] IR: 27  Full: 45  Visible: 18  Lux: 0
[ 156649 ms ] IR: 13  Full: 45  Visible: 32  Lux: 0
[ 157273 ms ] IR: 13  Full: 57  Visible: 44  Lux: 0
[ 157895 ms ] IR: 27  Full: 57  Visible: 30  Lux: 0
[ 158518 ms ] IR: 27  Full: 57  Visible: 30  Lux: 0
[ 159141 ms ] IR: 26  Full: 57  Visible: 31  Lux: 0
[ 159764 ms ] IR: 27  Full: 56  Visible: 29  Lux: 0
[ 160388 ms ] IR: 27  Full: 54  Visible: 27  Lux: 0
[ 161010 ms ] IR: 26  Full: 42  Visible: 16  Lux: 0
[ 161633 ms ] IR: 13  Full: 42  Visible: 29  Lux: 0
[ 162256 ms ] IR: 13  Full: 52  Visible: 39  Lux: 0
[ 162879 ms ] IR: 24  Full: 39  Visible: 15  Lux: 0
[ 163503 ms ] IR: 12  Full: 51  Visible: 39  Lux: 0
[ 164125 ms ] IR: 25  Full: 55  Visible: 30  Lux: 0
[ 164748 ms ] IR: 27  Full: 49  Visible: 22  Lux: 0
[ 165371 ms ] IR: 15  Full: 39  Visible: 24  Lux: 0
[ 165994 ms ] IR: 12  Full: 54  Visible: 42  Lux: 0
[ 166618 ms ] IR: 25  Full: 53  Visible: 28  Lux: 0
[ 167240 ms ] IR: 26  Full: 55  Visible: 29  Lux: 0
[ 167864 ms ] IR: 26  Full: 60  Visible: 34  Lux: 0
[ 168486 ms ] IR: 28  Full: 55  Visible: 27  Lux: 0
[ 169109 ms ] IR: 24  Full: 68  Visible: 44  Lux: 0
[ 169733 ms ] IR: 31  Full: 58  Visible: 27  Lux: 0
[ 170355 ms ] IR: 27  Full: 48  Visible: 21  Lux: 0
[ 170979 ms ] IR: 16  Full: 59  Visible: 43  Lux: 0
[ 171601 ms ] IR: 28  Full: 59  Visible: 31  Lux: 0
[ 172224 ms ] IR: 28  Full: 48  Visible: 20  Lux: 0
[ 172848 ms ] IR: 16  Full: 60  Visible: 44  Lux: 0
[ 173470 ms ] IR: 29  Full: 60  Visible: 31  Lux: 0
[ 174094 ms ] IR: 28  Full: 59  Visible: 31  Lux: 0
[ 174716 ms ] IR: 28  Full: 58  Visible: 30  Lux: 0
[ 175339 ms ] IR: 28  Full: 59  Visible: 31  Lux: 0
[ 175963 ms ] IR: 28  Full: 44  Visible: 16  Lux: 0
[ 176585 ms ] IR: 15  Full: 58  Visible: 43  Lux: 0
[ 177209 ms ] IR: 27  Full: 45  Visible: 18  Lux: 0
[ 177831 ms ] IR: 15  Full: 58  Visible: 43  Lux: 0
[ 178454 ms ] IR: 27  Full: 60  Visible: 33  Lux: 0
[ 179078 ms ] IR: 29  Full: 61  Visible: 32  Lux: 0
[ 179700 ms ] IR: 29  Full: 62  Visible: 33  Lux: 0
[ 180324 ms ] IR: 29  Full: 52  Visible: 23  Lux: 0
[ 180946 ms ] IR: 17  Full: 51  Visible: 34  Lux: 0
[ 181569 ms ] IR: 17  Full: 58  Visible: 41  Lux: 0
[ 182193 ms ] IR: 26  Full: 57  Visible: 31  Lux: 0
[ 182815 ms ] IR: 27  Full: 46  Visible: 19  Lux: 0
[ 183439 ms ] IR: 14  Full: 46  Visible: 32  Lux: 0
